REG_DATE,PM25,PM100,Temperature,Humidity,TVOC,CO2,weekday
2020-04-05 02:21:00,3.48,6.19,19.3,15.6,1.61,2.36,Sunday
2020-04-05 02:22:00,4.35,6.19,19.3,15.6,1.61,2.35,Sunday
2020-04-05 02:23:00,4.93,6.19,19.3,15.6,1.59,2.43,Sunday
2020-04-05 02:24:00,5.22,6.19,19.3,15.6,1.62,2.36,Sunday
2020-04-05 02:25:00,4.64,6.19,19.2,15.7,1.61,2.39,Sunday
2020-04-05 02:26:00,3.48,6.19,19.2,15.6,1.59,2.39,Sunday
2020-04-05 02:27:00,3.19,6.19,19.3,15.6,1.57,2.38,Sunday
2020-04-05 02:28:00,4.06,6.19,19.3,15.5,1.59,2.38,Sunday
2020-04-05 02:29:00,4.35,6.19,19.3,15.5,1.59,2.33,Sunday
2020-04-05 02:30:00,3.48,6.19,19.3,15.6,1.59,2.33,Sunday
2020-04-05 02:31:00,4.06,6.19,19.3,15.6,1.58,2.39,Sunday
2020-04-05 02:32:00,4.06,6.19,19.2,15.6,1.59,2.39,Sunday
2020-04-05 02:33:00,4.35,6.19,19.2,15.6,1.59,2.31,Sunday
2020-04-05 02:34:00,4.64,6.19,19.2,15.5,1.57,2.38,Sunday
2020-04-05 02:35:00,4.93,6.19,19.3,15.5,1.58,2.35,Sunday
2020-04-05 02:36:00,4.35,6.19,19.3,15.5,1.56,2.33,Sunday
2020-04-05 02:37:00,4.93,6.19,19.3,15.5,1.58,2.38,Sunday
2020-04-05 02:38:00,4.35,6.19,19.3,15.4,1.57,2.32,Sunday
2020-04-05 02:39:00,4.35,6.19,19.3,15.4,1.58,2.36,Sunday
2020-04-05 02:40:00,4.06,6.19,19.3,15.4,1.56,2.3,Sunday
2020-04-05 02:41:00,4.06,6.19,19.3,15.4,1.57,2.33,Sunday
2020-04-05 02:42:00,4.64,6.19,19.2,15.4,1.56,2.32,Sunday
2020-04-05 02:43:00,4.93,6.19,19.3,15.4,1.55,2.31,Sunday
2020-04-05 02:44:00,4.93,6.19,19.3,15.4,1.57,2.38,Sunday
2020-04-05 02:45:00,4.35,6.19,19.3,15.4,1.56,2.34,Sunday
2020-04-05 02:46:00,4.93,6.19,19.3,15.4,1.58,2.34,Sunday
2020-04-05 02:47:00,4.35,6.19,19.3,15.4,1.57,2.35,Sunday
2020-04-05 02:48:00,4.06,6.19,19.2,15.4,1.57,2.33,Sunday
2020-04-05 02:49:00,4.93,6.19,19.2,15.4,1.57,2.32,Sunday
2020-04-05 02:50:00,4.64,6.19,19.2,15.4,1.58,2.27,Sunday
2020-04-05 02:51:00,6.09,6.19,19.3,15.4,1.56,2.35,Sunday
2020-04-05 02:52:00,5.51,6.19,19.3,15.3,1.57,2.32,Sunday
2020-04-05 02:53:00,4.35,6.19,19.2,15.4,1.57,2.28,Sunday
2020-04-05 02:54:00,4.64,6.19,19.2,15.4,1.57,2.31,Sunday
2020-04-05 02:55:00,3.77,6.19,19.2,15.4,1.57,2.31,Sunday
2020-04-05 02:56:00,3.48,6.19,19.2,15.4,1.59,2.29,Sunday
2020-04-05 02:57:00,4.06,6.19,19.2,15.4,1.57,2.31,Sunday
2020-04-05 02:58:00,3.19,6.19,19.2,15.4,1.58,2.34,Sunday
2020-04-05 02:59:00,3.48,6.19,19.1,15.4,1.56,2.4,Sunday
2020-04-05 03:00:00,3.19,6.19,19.1,15.4,1.58,2.31,Sunday
2020-04-05 03:01:00,3.48,6.19,19.1,15.4,1.56,2.26,Sunday
2020-04-05 03:02:00,3.48,6.19,19.1,15.4,1.56,2.34,Sunday
2020-04-05 03:03:00,3.77,6.19,19.1,15.4,1.58,2.3,Sunday
2020-04-05 03:04:00,3.48,6.19,19.1,15.4,1.56,2.28,Sunday
2020-04-05 03:05:00,4.06,6.19,19.1,15.4,1.57,2.27,Sunday
2020-04-05 03:06:00,4.06,6.19,19.1,15.4,1.57,2.29,Sunday
2020-04-05 03:07:00,3.77,6.19,19.1,15.4,1.57,2.34,Sunday
2020-04-05 03:08:00,3.48,6.19,19.1,15.4,1.57,2.27,Sunday
2020-04-05 03:09:00,4.06,6.19,19.1,15.4,1.61,2.28,Sunday
2020-04-05 03:10:00,4.06,6.19,19.1,15.3,1.58,2.36,Sunday
2020-04-05 03:11:00,3.77,6.19,19.1,15.4,1.58,2.27,Sunday
2020-04-05 03:12:00,3.77,6.19,19.1,15.3,1.55,2.26,Sunday
2020-04-05 03:13:00,3.19,6.19,19.1,15.3,1.55,2.27,Sunday
2020-04-05 03:14:00,5.22,6.19,19.1,15.3,1.57,2.28,Sunday
2020-04-05 03:15:00,3.77,6.19,19.1,15.3,1.57,2.3,Sunday
2020-04-05 03:16:00,3.77,6.19,19.1,15.3,1.55,2.25,Sunday
2020-04-05 03:17:00,3.19,6.19,19.1,15.3,1.55,2.28,Sunday
2020-04-05 03:18:00,4.35,6.19,19.1,15.3,1.55,2.26,Sunday
2020-04-05 03:19:00,4.06,6.19,19.1,15.3,1.54,2.25,Sunday
2020-04-05 03:20:00,3.48,6.19,19.1,15.2,1.54,2.25,Sunday
2020-04-05 03:21:00,3.19,6.19,19.1,15.1,1.54,2.23,Sunday
2020-04-05 03:22:00,3.77,6.19,19.2,15.1,1.54,2.25,Sunday
2020-04-05 03:23:00,4.06,6.19,19.2,15.2,1.54,2.25,Sunday
2020-04-05 03:24:00,4.06,6.19,19.2,15.2,1.57,2.23,Sunday
2020-04-05 03:25:00,3.77,6.19,19.2,15.2,1.55,2.27,Sunday
2020-04-05 03:26:00,4.06,6.19,19.2,15.2,1.56,2.24,Sunday
2020-04-05 03:27:00,3.48,6.19,19.2,15.2,1.56,2.28,Sunday
2020-04-05 03:28:00,3.77,6.19,19.1,15.1,1.53,2.23,Sunday
2020-04-05 03:29:00,4.06,6.19,19.1,15.1,1.57,2.25,Sunday
2020-04-05 03:30:00,3.19,6.19,19.1,15.1,1.54,2.24,Sunday
2020-04-05 03:31:00,3.48,6.19,19.1,15.1,1.58,2.24,Sunday
2020-04-05 03:32:00,4.35,6.19,19.2,15.1,1.56,2.26,Sunday
2020-04-05 03:33:00,3.77,6.19,19.2,15.1,1.56,2.27,Sunday
2020-04-05 03:34:00,3.77,6.19,19.2,15.1,1.53,2.3,Sunday
2020-04-05 03:35:00,4.35,6.19,19.1,15.1,1.57,2.22,Sunday
